evaluations raw_y
1 70.1693226702
2 36.7604881992
3 36.6215184055
5 33.8725333879
6 28.9401188724
9 17.2288384566
27 13.5675732542
35 10.3351655094
72 9.6763797817
87 6.8003378682
102 6.3966509481
107 5.5463297942
163 4.6572043360
176 2.0686483442
258 1.7444600838
336 1.5258532259
348 1.2391955510
373 0.7781787000
411 0.3025044566
708 0.2017458759
751 0.0490097482
923 0.0406409999
979 0.0150457564
1057 0.0135710339
1087 0.0115304512
1092 0.0079006338
1158 0.0034407195
1225 0.0012508860
1300 0.0003197084
1469 0.0002734132
1520 0.0000516691
1629 0.0000261354
1800 0.0000155817
1859 0.0000128366
1996 0.0000108388
2001 0.0000094878
2110 0.0000045520
2219 0.0000032155
2314 0.0000025004
2328 0.0000020520
2346 0.0000019339
2363 0.0000003120
2522 0.0000002734
2695 0.0000002427
2757 0.0000001884
2796 0.0000001268
2820 0.0000000406
2885 0.0000000020
3375 0.0000000003
3737 0.0000000001
8000 0.0000000000
evaluations raw_y
1 134.8068784897
2 8.3380897207
3 7.6858617561
6 5.2086672186
7 4.0466893500
23 1.6594680202
94 0.8382383211
110 0.3486589495
112 0.2220848396
159 0.1159044355
197 0.0292879632
289 0.0214192549
358 0.0078172055
373 0.0070450911
388 0.0040745858
397 0.0009488888
534 0.0001347140
673 0.0000019355
832 0.0000016308
845 0.0000006796
876 0.0000003866
889 0.0000001879
894 0.0000001320
1015 0.0000000579
1033 0.0000000391
1137 0.0000000312
1233 0.0000000167
1234 0.0000000107
1275 0.0000000077
1367 0.0000000019
1487 0.0000000006
1514 0.0000000005
1733 0.0000000002
1984 0.0000000000
8000 0.0000000000
evaluations raw_y
1 0.5422798840
3 0.0194056096
137 0.0079350065
237 0.0077220496
270 0.0063757264
314 0.0036750591
364 0.0008892868
431 0.0003389605
512 0.0002682525
529 0.0001901553
570 0.0000464730
743 0.0000306839
813 0.0000241471
855 0.0000215143
872 0.0000188684
905 0.0000094876
914 0.0000046790
973 0.0000037712
994 0.0000037653
1046 0.0000013411
1105 0.0000008793
1241 0.0000002197
1251 0.0000001296
1379 0.0000001130
1390 0.0000000880
1393 0.0000000537
1463 0.0000000500
1464 0.0000000067
1638 0.0000000029
1668 0.0000000025
1828 0.0000000016
1862 0.0000000012
1900 0.0000000008
1980 0.0000000006
1998 0.0000000004
2035 0.0000000002
2177 0.0000000001
8000 0.0000000000
evaluations raw_y
1 2.4435469462
8 0.4666209562
21 0.2338470838
71 0.1258082451
146 0.0331491733
165 0.0265657848
168 0.0030879084
211 0.0006906609
302 0.0002649519
316 0.0001482417
334 0.0000000001
551 0.0000000000
8000 0.0000000000
evaluations raw_y
1 13.2028673847
2 0.4707574916
31 0.1874536650
82 0.0805628377
145 0.0789811698
186 0.0027154064
354 0.0026479921
447 0.0022215973
476 0.0013446863
508 0.0012678220
525 0.0004008883
573 0.0002630954
600 0.0001793591
640 0.0001030077
678 0.0000375781
752 0.0000134425
797 0.0000012780
833 0.0000012756
913 0.0000007914
996 0.0000006561
1035 0.0000003316
1070 0.0000001597
1214 0.0000000755
1232 0.0000000224
1295 0.0000000159
1302 0.0000000090
1345 0.0000000071
1407 0.0000000055
1417 0.0000000051
1432 0.0000000045
1476 0.0000000006
1580 0.0000000003
1688 0.0000000002
1902 0.0000000001
8000 0.0000000000
evaluations raw_y
1 0.1857137201
9 0.1709693634
99 0.0741931829
107 0.0087994098
144 0.0029361005
260 0.0020075354
319 0.0018791769
334 0.0009510142
378 0.0009063402
404 0.0008772725
435 0.0000874341
515 0.0000448667
546 0.0000239902
587 0.0000223030
595 0.0000062077
679 0.0000014150
760 0.0000005483
850 0.0000003291
855 0.0000002566
872 0.0000000481
1003 0.0000000413
1051 0.0000000324
1054 0.0000000187
1063 0.0000000127
1115 0.0000000050
1155 0.0000000038
1253 0.0000000031
1284 0.0000000020
1325 0.0000000012
1346 0.0000000007
1398 0.0000000005
1419 0.0000000004
1486 0.0000000001
8000 0.0000000000
evaluations raw_y
1 22.2364997968
2 9.2581160042
3 0.7540280841
4 0.5962135112
6 0.4971553689
32 0.3667381996
92 0.2338821878
121 0.1385445665
262 0.1095758980
270 0.0686719594
296 0.0278422717
367 0.0200428352
498 0.0187414026
526 0.0165895189
628 0.0123012257
663 0.0107476373
695 0.0088511387
747 0.0027305990
790 0.0014142648
900 0.0013844571
909 0.0012366759
931 0.0004416852
948 0.0004048902
1015 0.0000322002
1071 0.0000180823
1192 0.0000164532
1274 0.0000102273
1327 0.0000058899
1353 0.0000008938
1448 0.0000003066
1522 0.0000002612
1547 0.0000000343
1728 0.0000000180
1735 0.0000000060
1750 0.0000000059
1816 0.0000000014
1824 0.0000000009
1877 0.0000000006
2033 0.0000000004
2062 0.0000000002
2109 0.0000000001
8000 0.0000000000
evaluations raw_y
1 0.1120713291
108 0.0637720987
148 0.0522532737
231 0.0411711930
250 0.0405759145
255 0.0349605267
271 0.0045700896
356 0.0039441306
405 0.0033819033
469 0.0012604742
545 0.0012092030
572 0.0005505574
616 0.0003636798
649 0.0003301069
700 0.0002664120
740 0.0001161138
764 0.0000919363
813 0.0000198483
946 0.0000173856
954 0.0000119512
970 0.0000049017
1059 0.0000047458
1076 0.0000027094
1127 0.0000019512
1175 0.0000013369
1179 0.0000011407
1248 0.0000009577
1252 0.0000000452
1419 0.0000000334
1518 0.0000000251
1603 0.0000000241
1631 0.0000000194
1641 0.0000000111
1709 0.0000000079
1758 0.0000000076
1844 0.0000000075
1861 0.0000000062
1880 0.0000000036
1959 0.0000000020
2014 0.0000000015
2101 0.0000000006
2125 0.0000000003
2374 0.0000000001
2615 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.1667713101
4 1.8730443331
10 0.5530121219
25 0.3003940875
87 0.2398974714
149 0.1007146650
184 0.0866089415
287 0.0706795497
294 0.0296090219
315 0.0126060466
353 0.0030061278
435 0.0019690139
531 0.0016294102
536 0.0009934438
541 0.0002195699
552 0.0000103796
787 0.0000036129
798 0.0000015430
860 0.0000013405
893 0.0000008115
940 0.0000007945
941 0.0000006835
950 0.0000004082
961 0.0000002050
1048 0.0000000413
1147 0.0000000234
1236 0.0000000053
1309 0.0000000016
1413 0.0000000001
1623 0.0000000000
8000 0.0000000000
evaluations raw_y
1 19.6786026059
2 8.8265644105
4 7.9232523805
5 5.8129048267
10 4.4253516848
11 4.2316718068
16 3.0770273221
41 1.9858059796
95 1.9709846092
117 1.3114654649
142 1.0391508806
264 0.7177000403
303 0.6739085358
611 0.5631174160
751 0.3964908048
848 0.3955583167
869 0.2836749839
910 0.1651128908
965 0.1559096171
1013 0.1200839255
1030 0.1039347923
1074 0.0526923116
1124 0.0386579757
1184 0.0359993221
1198 0.0263488003
1232 0.0195883593
1297 0.0156729237
1406 0.0070074817
1479 0.0056507030
1503 0.0051926886
1517 0.0038080598
1593 0.0036493363
1603 0.0026285172
1637 0.0025015348
1658 0.0018319357
1663 0.0014941377
1672 0.0002842041
1857 0.0001593862
1863 0.0000692975
1896 0.0000692884
2002 0.0000692851
2010 0.0000692819
2018 0.0000692742
2231 0.0000692736
2623 0.0000692735
8000 0.0000692757
evaluations raw_y
1 5.6160829049
2 3.8235468081
4 3.0199688999
5 0.5064598119
9 0.2223211682
45 0.0041262707
110 0.0011211388
227 0.0004561287
289 0.0002938065
308 0.0000000207
320 0.0000000061
470 0.0000000026
489 0.0000000001
699 0.0000000000
8000 0.0000000000
evaluations raw_y
1 6.5441438361
3 3.3041644642
9 0.0000000055
17 0.0000000048
37 0.0000000039
75 0.0000000038
86 0.0000000035
112 0.0000000030
161 0.0000000029
525 0.0000000026
725 0.0000000023
795 0.0000000019
2935 0.0000000017
8000 0.0000000056
evaluations raw_y
1 244.5781506330
3 78.2962558487
8 30.5414247296
15 8.1464436715
58 2.1389366681
78 2.0062281206
109 0.6994621379
134 0.6402641060
135 0.1579386593
291 0.0573051293
371 0.0185665994
428 0.0037987996
459 0.0013853980
617 0.0003076472
697 0.0002709690
701 0.0001683559
785 0.0001379695
791 0.0000923763
793 0.0000708702
808 0.0000601015
811 0.0000462890
818 0.0000392933
827 0.0000097262
923 0.0000025879
1030 0.0000017608
1094 0.0000005808
1195 0.0000001425
1295 0.0000000953
1386 0.0000000490
1451 0.0000000293
1472 0.0000000290
1479 0.0000000232
1499 0.0000000137
1552 0.0000000006
1651 0.0000000003
1778 0.0000000001
1834 0.0000000000
8000 0.0000000000
evaluations raw_y
1 23.1076452158
2 2.3997130885
4 1.2445809253
9 0.2637771217
74 0.1021548122
141 0.0674114385
303 0.0231388116
343 0.0074207026
590 0.0046020729
591 0.0035583476
612 0.0014467483
783 0.0010458739
866 0.0000579059
1116 0.0000102210
1183 0.0000076774
1187 0.0000064222
1280 0.0000040421
1287 0.0000004803
1408 0.0000003349
1473 0.0000001213
1635 0.0000000477
1770 0.0000000246
1771 0.0000000176
1849 0.0000000022
1990 0.0000000017
2109 0.0000000011
2159 0.0000000006
2240 0.0000000005
2366 0.0000000004
2370 0.0000000002
2562 0.0000000001
2977 0.0000000000
8000 0.0000000000
evaluations raw_y
1 4.2765189633
2 1.6987679555
12 0.0001896654
15 0.0000024926
