evaluations raw_y
1 42.2612056988
2 33.7682602895
6 30.3851022782
9 28.5339590478
15 28.1879805205
17 23.4617090033
21 15.8379131235
27 14.2406700897
53 13.9811424352
55 13.7829246151
56 11.9249482995
71 10.9486713340
81 10.8536819637
84 7.9202967724
118 3.6076746732
199 3.2184301125
248 2.7027810021
254 0.7043771852
321 0.5575422639
386 0.4795194565
435 0.4093454896
501 0.3334376687
689 0.3062400807
701 0.1979989196
710 0.1189983977
839 0.0449395655
957 0.0205664376
993 0.0155517343
1071 0.0066655910
1086 0.0064455068
1089 0.0040947377
1134 0.0027371173
1192 0.0014838375
1247 0.0013660401
1269 0.0012223610
1330 0.0011416210
1384 0.0006994901
1420 0.0006310688
1441 0.0003456528
1452 0.0002816936
1518 0.0001270985
1537 0.0001263811
1565 0.0000289266
1672 0.0000063500
2063 0.0000057257
2082 0.0000042353
2117 0.0000023909
2264 0.0000019522
2308 0.0000009640
2536 0.0000008082
2557 0.0000005556
2611 0.0000002048
2650 0.0000000855
2768 0.0000000752
3133 0.0000000315
3183 0.0000000171
3240 0.0000000143
3252 0.0000000115
3365 0.0000000046
3397 0.0000000020
3506 0.0000000009
4024 0.0000000006
4146 0.0000000005
4179 0.0000000002
4272 0.0000000001
8000 0.0000000000
evaluations raw_y
1 6.1029231280
3 4.7035395522
13 2.8791920738
17 1.7277336999
34 0.8845699651
164 0.7220016481
168 0.6907319389
186 0.1773036623
207 0.1323268839
212 0.0388253474
239 0.0330591220
287 0.0072775392
344 0.0047828770
351 0.0004005896
447 0.0001239320
489 0.0001071832
506 0.0000906157
516 0.0000426991
532 0.0000066403
590 0.0000016764
620 0.0000010145
653 0.0000008471
682 0.0000004356
706 0.0000002275
819 0.0000002255
834 0.0000001970
850 0.0000000572
873 0.0000000289
874 0.0000000277
959 0.0000000248
972 0.0000000177
1005 0.0000000079
1037 0.0000000061
1090 0.0000000058
1161 0.0000000042
1222 0.0000000018
1268 0.0000000005
1379 0.0000000002
1409 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.4229707708
2 0.5739946156
3 0.1556905890
8 0.1079384481
