evaluations raw_y
1 145.2222938498
2 75.3898667439
4 53.4820981574
17 52.3605331955
20 32.1652533888
21 22.0742354920
61 15.8023239678
99 15.3237349124
117 7.3093006939
176 7.1982930431
200 3.5422690471
256 2.5018346889
384 2.2766242568
400 2.0657640202
488 1.5339372702
506 0.9206660816
644 0.9091510186
649 0.7238554600
654 0.4719287970
823 0.3986681749
936 0.3458582709
1065 0.3351972313
1101 0.3201715224
1111 0.2987086521
1114 0.2614096138
1201 0.2318440923
1234 0.2274703129
1235 0.2134657156
1283 0.1976902496
1287 0.1503496001
1359 0.1361697902
1366 0.1205789541
1427 0.1176735611
1432 0.0841351063
1488 0.0760185104
1517 0.0751055797
1582 0.0573661608
1634 0.0551420460
1674 0.0539583252
1703 0.0431805313
1814 0.0307653567
1833 0.0231701123
2025 0.0218237415
2032 0.0212778053
2075 0.0148214737
2131 0.0124842766
2179 0.0100792760
2321 0.0089989034
2335 0.0081979890
2337 0.0061942491
2368 0.0058294309
2494 0.0052898421
2514 0.0051709449
2541 0.0046183925
2560 0.0045117753
2564 0.0044460432
2572 0.0044011469
2579 0.0043518199
2635 0.0041853732
2665 0.0033174153
2702 0.0032158414
2734 0.0027863359
2769 0.0020989661
2814 0.0020049264
2878 0.0018925248
2889 0.0013446619
3035 0.0011949666
3100 0.0009975073
3106 0.0008919034
3157 0.0008109030
3178 0.0007796835
3232 0.0006665197
3250 0.0006322599
3265 0.0006149839
3292 0.0005268521
3315 0.0004133124
3352 0.0003801092
3374 0.0002696469
3418 0.0001782567
3638 0.0001657333
3644 0.0001414031
3696 0.0001294901
3769 0.0001118771
3805 0.0001061103
3888 0.0001033714
3910 0.0001031718
3912 0.0000812595
3949 0.0000681951
4008 0.0000644355
4029 0.0000519329
4033 0.0000494830
4044 0.0000421959
4118 0.0000318641
4200 0.0000299189
4290 0.0000275041
4352 0.0000235196
4365 0.0000214996
4435 0.0000213878
4436 0.0000192909
4440 0.0000183628
4465 0.0000156650
4494 0.0000134250
4527 0.0000126508
4602 0.0000118067
4622 0.0000117089
4631 0.0000101285
4632 0.0000077027
4737 0.0000067216
4799 0.0000066329
4808 0.0000048394
4846 0.0000041721
4870 0.0000029016
4995 0.0000023278
5019 0.0000021667
5059 0.0000019292
5089 0.0000017533
5124 0.0000014197
5128 0.0000012735
5174 0.0000010236
5225 0.0000009346
5284 0.0000009222
5311 0.0000007565
5411 0.0000004721
5463 0.0000003867
5585 0.0000003681
5607 0.0000003367
5618 0.0000002575
5715 0.0000002532
5727 0.0000002480
5744 0.0000001449
5800 0.0000001375
5825 0.0000001339
5857 0.0000001198
5889 0.0000001083
5934 0.0000001044
5960 0.0000001040
5995 0.0000000794
6150 0.0000000781
6169 0.0000000771
6174 0.0000000758
6176 0.0000000670
6201 0.0000000665
10000 0.0000000665
evaluations raw_y
1 132.1573664813
3 28.2187919654
8 26.3089927802
9 21.3950987913
14 13.2790799122
16 10.1850132920
39 2.5668541935
103 2.4739530547
248 1.6589522265
261 1.4771162527
309 0.8202616560
387 0.7223815275
486 0.6071642172
600 0.5565024660
840 0.5267478691
939 0.4933585673
1089 0.4843471779
1268 0.4696673120
1557 0.4690665851
1686 0.4682930871
1733 0.4679216128
1770 0.4677864556
1782 0.4674633197
1798 0.4673572483
1813 0.4667410363
1837 0.4666703158
1843 0.4664200926
1872 0.4663563168
1931 0.4663515603
1939 0.4663466405
1981 0.4662844741
1985 0.4662686430
2013 0.4661286785
2033 0.4661210105
2059 0.4660882350
2185 0.4660870566
2194 0.4660851489
2199 0.4660772767
2230 0.4660728772
2291 0.4660728054
2294 0.4660726886
2313 0.4660713567
2332 0.4660712705
2337 0.4660706711
2420 0.4660702470
2462 0.4660697852
2541 0.4660696833
2784 0.4660696555
2887 0.4660696409
2900 0.4660696331
2935 0.4660696328
2989 0.4660696314
2995 0.4660696255
3018 0.4660696248
3083 0.4660696238
3120 0.4660696231
3138 0.4660696206
3148 0.4660696193
3224 0.4660696184
3273 0.4660696181
3278 0.4660696177
3478 0.4660696176
10000 0.4660696176
evaluations raw_y
1 2.8215839300
3 0.5269415065
21 0.4102715171
63 0.2590071606
158 0.2496115729
169 0.2095555255
171 0.1845000816
214 0.1690307198
217 0.0854080831
241 0.0811436196
258 0.0610808004
296 0.0565772279
387 0.0436630423
399 0.0378580124
422 0.0196867593
446 0.0184656224
448 0.0178450713
520 0.0148820791
529 0.0138184773
543 0.0121652632
547 0.0117132913
563 0.0072893848
611 0.0071271574
618 0.0058560313
639 0.0051785393
670 0.0043324252
672 0.0030377598
743 0.0029217878
761 0.0028536161
775 0.0022441843
791 0.0019236133
806 0.0018431896
807 0.0018280556
826 0.0014877931
865 0.0013073293
866 0.0009313183
867 0.0007692412
918 0.0006022888
925 0.0005880662
937 0.0003422412
1006 0.0002622919
1039 0.0002603201
1042 0.0002177929
1048 0.0002150091
1051 0.0001411017
1066 0.0001346864
1139 0.0001246173
1142 0.0000875663
1148 0.0000642688
1149 0.0000469126
1191 0.0000320427
1238 0.0000176403
1271 0.0000147817
1325 0.0000119663
1366 0.0000109087
1386 0.0000093444
1402 0.0000074314
1403 0.0000073805
1411 0.0000064234
1439 0.0000054020
1449 0.0000030815
1516 0.0000029279
1523 0.0000022480
1525 0.0000021811
1582 0.0000020320
1584 0.0000018007
1588 0.0000014587
1621 0.0000013399
1625 0.0000013374
1670 0.0000012676
1711 0.0000012036
1727 0.0000009416
1735 0.0000008872
1755 0.0000006170
1787 0.0000004399
1850 0.0000003471
1878 0.0000003226
1888 0.0000002803
1927 0.0000002670
1932 0.0000002524
1933 0.0000002239
1943 0.0000002232
1949 0.0000002090
1976 0.0000001951
1993 0.0000001840
2000 0.0000001625
2011 0.0000001246
2016 0.0000001197
2057 0.0000000981
2062 0.0000000827
2103 0.0000000647
2126 0.0000000536
2160 0.0000000516
2164 0.0000000430
2206 0.0000000427
2212 0.0000000394
2219 0.0000000357
2223 0.0000000314
2231 0.0000000234
2250 0.0000000205
2303 0.0000000201
2312 0.0000000185
2315 0.0000000182
2336 0.0000000177
2340 0.0000000173
2341 0.0000000159
2343 0.0000000146
2351 0.0000000126
2389 0.0000000118
2406 0.0000000106
2429 0.0000000104
2430 0.0000000090
2451 0.0000000079
2498 0.0000000077
2518 0.0000000075
2527 0.0000000071
2560 0.0000000070
